# id|form|meaning|use|contrast|valid alternatives and limits
de.c.017|war/hatte/konnte und weitere Präteritalformen|vergangener Zustand oder Modalität|Vergangenes knapp erzählen.|Präteritum eines Modalverbs unterscheidet sich vom Perfekt mit Ersatzinfinitiv.|Perfekt ist kontextabhängig möglich; Stil und Verbkomplex müssen stimmen.
de.c.018|Nominalgruppe oder Pronomen im Dativ|durch Regens lizenzierte Ergänzungsrolle|Empfänger und andere Dativbeziehungen ausdrücken.|Dativ wird nicht allein durch die Bedeutung Person bestimmt.|Eine passende Umschreibung kann andere Kasus verlangen.
de.c.019|Wechselpräposition + Dativ oder Akkusativ|Lagebeziehung oder gerichtete Zielbeziehung|Ort und Ortswechsel unterscheiden.|Bewegung innerhalb eines Ortes erzwingt nicht automatisch Akkusativ.|Die Kasuswahl muss der räumlichen Relation entsprechen.
de.c.020|müssen/dürfen/sollen/wollen finit + Infinitiv|Notwendigkeit, Erlaubnis, Auftrag oder Absicht|Regeln, Pflichten und Pläne erklären.|Nicht müssen ist keine Pflicht; nicht dürfen ist ein Verbot.|Paraphrasen müssen Modalität, Quelle und Stärke erhalten.
de.c.021|Komparativ mit -er; Superlativ mit -st/-est|relativer oder höchster Grad|Eigenschaften vergleichen.|Als beim Unterschied unterscheidet sich von wie bei Gleichheit.|Mehr/weniger und am- oder attributive Formen haben eigene Umgebungen.
de.c.022|weil + Nebensatz mit finitem Verb am Ende|Begründung|Eine Ursache oder einen Grund nennen.|Standardsprachlicher weil-Nebensatz unterscheidet sich vom denn-Hauptsatz.|Denn und da können passen, verändern aber Struktur und teilweise Informationsgewicht.
de.c.023|dass + eingebetteter Verb-Letzt-Satz|Inhalt einer Aussage, Wahrnehmung oder Bewertung|Eine Proposition als Ergänzung ausdrücken.|Dass ist keine Relativform das.|Uneingeleitete Inhaltssätze sind nur bei geeigneten übergeordneten Ausdrücken möglich.
de.c.024|wenn/als + Temporalsatz|wiederholter oder einmaliger vergangener Zeitbezug|Ereignisse zeitlich einordnen.|Als für ein einmaliges vergangenes Ereignis unterscheidet sich von wiederholtem wenn.|Wenn kann auch konditional sein; Zeit- und Bedingungslesart getrennt prüfen.
de.c.025|reflexives Verb mit passendem Reflexivpronomen|Rückbezug oder lexikalisch geforderte Reflexivität|Handlungen und Zustände auf die betreffende Person beziehen.|Sich waschen und sich erinnern haben unterschiedliche Reflexivitätsarten.|Akkusativ oder Dativ folgt der konkreten Verbstruktur.
de.c.026|sein + unflektiertes prädikatives Adjektiv|Eigenschaft des Subjekts|Personen oder Dinge beschreiben.|Prädikative Adjektive werden anders behandelt als attributive Adjektive.|Andere Kopulaverben sind nur bei passender Bedeutungsänderung zulässig.
de.c.027|Zeitangabe im Vorfeld oder Mittelfeld|zeitliche Einordnung mit unterschiedlichem Fokus|Abläufe verständlich ordnen.|Ein vorangestelltes Satzglied lässt im Aussagesatz die finite Verbposition bestehen.|Mehrere Stellungen sind möglich; Fokus und Lesbarkeit berücksichtigen.
de.c.028|man/jemand/niemand mit passender Flexion|unspezifische Person oder fehlender menschlicher Referent|Allgemeine oder unbestimmte Aussagen machen.|Man ist typischerweise Subjekt; jemand und niemand haben weitere Kasusformen.|Passiv kann eine allgemeine Aussage ermöglichen, verändert aber die Perspektive.
de.c.029|Präteritum in einer Ereignisfolge|vergangene Erzählzeit|Eine Geschichte zusammenhängend erzählen.|Präteritum ist keine Aussage über größere zeitliche Entfernung.|Perfekt kann bei passendem Register dieselben Ereignisse erzählen.
de.c.030|hatte/war + Partizip II|Vorzeitigkeit zu einem vergangenen Bezugspunkt|Eine frühere Ursache erklären.|Vorzeitigkeit ergibt sich nicht allein aus der Reihenfolge der Sätze.|Andere Tempora sind nur bei eindeutig erhaltener Zeitrelation gleichwertig.
de.c.031|Relativpronomen im Nominativ/Akkusativ + Verb-Letzt-Satz|Bezug auf eine Nominalgruppe|Ein Nomen genauer identifizieren.|Kasus folgt der Rolle im Relativsatz, Genus/Numerus dem Bezugswort.|Ein selbständiger Satz kann die Information wiedergeben, hat aber eine andere Anbindung.
de.c.032|Relativpronomen im Dativ + Relativsatz|Dativrelation zum Bezugswort|Eine Person oder Sache durch eine Beziehung beschreiben.|Dem/der/denen richtet sich nach dem Relativsatzregens.|Präposition plus Relativpronomen ist möglich, wenn die Relation es verlangt.
de.c.033|würde + Infinitiv|hypothetische Situation oder höfliche Distanz|Möglichkeiten und Wünsche ausdrücken.|Würde ist nicht die Universalform jeder indirekten Rede.|Einfache Konjunktiv-II-Formen können natürlicher sein, besonders bei häufigen Verben.
de.c.034|wäre/hätte/könnte/müsste und weitere Konjunktiv-II-Formen|Irrealität, Möglichkeit oder höfliche Abschwächung|Wünschen, beraten oder vorsichtig fragen.|Könnte und müsste haben unterschiedliche modale Stärke.|Würde-Umschreibungen sind nicht in jedem Register gleich passend.
de.c.035|werden im Präsens + Partizip II|Vorgang mit verändertem Perspektivzentrum|Abläufe und Verfahren beschreiben.|Vorgangspassiv unterscheidet sich von sein + Partizip.|Ein Aktivsatz kann den Vorgang darstellen, wenn ein geeigneter Agens angegeben wird.
de.c.036|wurde + Partizip; ist + Partizip + worden|vergangener passiver Vorgang|Berichten, was durchgeführt wurde.|Worden im Passivperfekt unterscheidet sich von geworden als Vollverbform.|Aktivische Varianten müssen Zeitlage und Teilnehmer erhalten.
de.c.037|zu-Infinitivgruppe mit lizenziertem Bezug|nichtfinit dargestellter Inhalt oder Handlung|Vorhaben, Bewertungen oder Absichten ergänzen.|Nicht jeder übergeordnete Ausdruck erlaubt dieselbe Infinitivgruppe.|Ein dass-Satz kann möglich sein, wenn Subjektbezug und Bedeutung passen.
de.c.038|um ... zu oder damit + finiter Satz|Zweck einer Handlung|Ein Ziel nennen.|Um ... zu braucht einen erschließbaren Handelnden; damit kann ein eigenes Subjekt haben.|Der Subjektbezug ist entscheidend, nicht allein ein mechanischer Gleichheitstest.
de.c.039|obwohl-Nebensatz; trotzdem im Hauptsatz|Gegensatz zu einer Erwartung|Eine unerwartete Folge erklären.|Konzession unterscheidet sich von reinem Gegensatz.|Dennoch oder obgleich können mit passender Syntax und Registerwahl verwendet werden.
de.c.040|Genitivattribut oder andere Genitivergänzung|Zugehörigkeit oder spezifizierende Beziehung|Nominale Beziehungen ausdrücken.|Genitiv ist nicht auf Besitz beschränkt.|Von-Phrasen sind kontextabhängige Alternativen und nicht immer stilistisch gleichwertig.
de.c.041|attributives Adjektiv mit Kasus-/Genus-/Numerusendung|Eigenschaft innerhalb einer Nominalgruppe|Ein Nomen präziser beschreiben.|Endung hängt auch vom vorausgehenden Determinierer ab.|Eine prädikative Umschreibung kann dieselbe Eigenschaft ausdrücken.
de.c.042|ob/Fragewort + eingebetteter Verb-Letzt-Satz|indirekte Informationsfrage|Höflich fragen oder eine offene Frage berichten.|Direkte Frage und eingebettete Frage haben unterschiedliche Verbstellung.|Ob passt zu Entscheidungsfragen, ein Fragewort zur jeweiligen Informationslücke.
de.c.043|hätte/wäre + Partizip II|irreale vergangene Situation|Bedauern oder alternative Vergangenheit ausdrücken.|Hätte gemacht unterscheidet sich zeitlich von würde machen.|Modale Verbgruppen können einen Ersatzinfinitiv erfordern.
de.c.044|Modalverb + Partizip II + werden|Notwendigkeit oder Möglichkeit eines passiven Vorgangs|Vorgaben für Verfahren beschreiben.|Muss kontrolliert werden unterscheidet sich von wird kontrolliert.|Aktivische Varianten brauchen einen passenden Handlungsträger und dieselbe Modalität.
de.c.045|sein + Partizip II mit passiver Zustandslesart|Zustand nach oder aufgrund eines Vorgangs|Den Zustand eines Ergebnisses beschreiben.|Zustandspassiv, Vorgangspassiv und lexikalisches Adjektiv sind zu unterscheiden.|Eine adjektivische Formulierung ist nur bei passender Zustandsbedeutung gleichwertig.
de.c.046|nominaler Ausdruck statt verbaler Struktur|Handlung oder Eigenschaft als Gegenstand|Sachverhalte verdichten oder thematisieren.|Nominalisierung kann den Handlungsträger verdecken.|Verbalisierung ist zulässig, wenn Rollen und logische Beziehungen erhalten bleiben.
de.c.047|schwaches maskulines Nomen mit -(e)n außerhalb des Nominativs Singular|Kasusmarkierung einer lexikalischen Nomenklasse|Personenbezeichnungen korrekt flektieren.|Nicht jedes maskuline Nomen gehört zur N-Deklination.|Gemischte und besondere Formen müssen lexikalisch dokumentiert werden.
de.c.048|Partizip I/II als flektiertes Attribut|laufende, abgeschlossene oder passive Eigenschaft|Personen und Dinge durch Handlungsbezug beschreiben.|Partizip I ist nicht pauschal aktiv und Partizip II nicht immer passiv.|Ein Relativsatz kann den Bezug explizit machen.
de.c.049|je + Komparativ, desto/umso + Komparativ|korrelierte Veränderung zweier Größen|Abhängige Entwicklungen beschreiben.|Korrelation ist keine automatisch bewiesene Ursache.|Desto und umso sind Varianten bei kompatibler Satzstruktur.
de.c.050|sowohl ... als auch; weder ... noch|additive Verbindung oder gemeinsame Verneinung|Mehrere gleichrangige Elemente verbinden.|Weder ... noch verneint beide Elemente.|Und oder nicht ... und nicht können passen; Skopus und Parallelität müssen erhalten bleiben.
de.c.051|Relativsatz mit erweiterten Ergänzungen und Attributen|genauere Spezifikation eines Referenten|Komplexe Beziehungen verständlich ausdrücken.|Genitivrelativ, Präpositionalrelativ und eingeschobene Information sind getrennte Teilmuster.|Aufteilen ist erlaubt, wenn Referenz und logische Beziehung erhalten bleiben.
de.c.052|Verb + lexikalisch gewählte Präposition + Kasus|vom Verb geforderte Relation|Komplette Verbmuster verwenden.|Warten auf unterscheidet sich von sprechen mit/über.|Andere Präpositionen können andere Sinne ausdrücken und sind nicht bloße Varianten.
de.c.053|Redebericht mit passendem Modus und Personenbezug|zugeschriebene Aussage|Information einer Quelle wiedergeben.|Indikativ und Konjunktiv können unterschiedliche Distanz markieren.|Dass-Sätze und uneingeleitete Sätze sind je nach Verb und Register möglich.
de.c.054|Nomen + Funktionsverb in konventionellem Muster|lexikalisierter Vorgang oder Zustand|Fachliche und formelle Aussagen bilden.|Eine Entscheidung treffen ist nicht frei mit jedem Verb kombinierbar.|Ein einfaches Verb kann passen, muss aber Aspekt und Register berücksichtigen.
de.c.055|Satzglieder zwischen linker und rechter Satzklammer|Informationsordnung innerhalb des Mittelfelds|Bekanntes, Neues und Gewicht sinnvoll ordnen.|Tendenzen zur Reihenfolge sind keine ausnahmslosen Positionsgesetze.|Mehrere Stellungen sind möglich, wenn Fokus, Pronomen und Lesbarkeit passen.
de.c.056|Konjunktor, Subjunktor oder Adverbkonnektor|logische Beziehung zwischen Aussagen|Ein Argument verbinden.|Konnektorklassen erzeugen unterschiedliche Verbstellungen.|Synonyme Konnektoren benötigen eine passende Satzstruktur und gleiche Relation.
de.c.057|Konjunktiv-I-Paradigma in Redeberichten|zugeschriebene Information mit möglicher Distanz|Aussagen von Quellen wiedergeben.|Formgleichheit mit dem Indikativ kann Ersatzformen motivieren.|Konjunktiv II oder würde sind register- und formspezifische Ersatzmöglichkeiten.
de.c.058|Modalverb in epistemischer oder berichtender Lesart|Vermutung oder Quellenbezug|Eine Schlussfolgerung oder fremde Behauptung kennzeichnen.|Soll kann Bericht statt Verpflichtung ausdrücken.|Paraphrasen mit vermutlich/angeblich sind nur bei passender Evidenzquelle äquivalent.
de.c.059|sich lassen + Infinitiv; sein + zu; weitere Passiversatzformen|Möglichkeit, Notwendigkeit oder passive Perspektive|Verfahren variieren.|Ist zu prüfen kann Pflicht ausdrücken; lässt sich prüfen eher Möglichkeit.|Ein werden-Passiv muss gegebenenfalls durch ein Modalverb ergänzt werden.
de.c.060|Nominalgruppe mit mehreren Attributen und Ergänzungen|dicht spezifizierte Referenz|Fachliche Gegenstände genau benennen.|Lange Attribute können mehrdeutige Anbindungen erzeugen.|Ein Relativsatz oder mehrere Sätze sind mögliche klarere Varianten.
de.c.061|Partizipialgruppe mit eindeutigem Bezug|verdichtete Begleitumstände oder Beschreibung|Zusammengehörige Informationen knapp darstellen.|Ein unklarer Partizipbezug erzeugt Fehlinterpretationen.|Ein finiter Nebensatz ist bei gleicher Zeit- und Teilnehmerrelation möglich.
de.c.062|Apposition zu einer Bezugsnominalgruppe|zusätzliche Identifizierung oder Erläuterung|Eine Person oder Sache näher benennen.|Enge und lockere Appositionen haben unterschiedliche Zeichensetzung und Flexion.|Ein Relativsatz kann erläutern; Referenz und Register müssen erhalten bleiben.
de.c.063|gezielte Vorfeldbesetzung im Verb-Zweit-Satz|Thema, Kontrast oder Anschluss|An vorhandene Information anknüpfen.|Das erste Satzglied muss nicht das Subjekt sein.|Neutrale Subjektstellung bleibt möglich, kann aber den Fokus verändern.
de.c.064|Material nach der rechten Satzklammer|Gewichtsentlastung oder nachgetragene Information|Lange Ergänzungen verständlich platzieren.|Nicht jedes Satzglied ist frei ausklammerbar.|Mittelfeldstellung ist nur bei grammatischer und verarbeitbarer Struktur eine Alternative.
de.c.065|konzessive oder adversative Satzverknüpfung|Erwartungsbruch oder Gegensatz|Argumente differenzieren.|Obwohl und während in adversativer Lesart kodieren nicht dieselbe Relation.|Trotzdem/hingegen benötigen passende Struktur und Informationsbeziehung.
de.c.066|epistemische Abschwächung und Quellenrahmen|begrenzte Sicherheit einer Behauptung|Wissenschaftlich angemessen formulieren.|Deutet darauf hin unterscheidet sich von beweist.|Alternative Formulierungen dürfen die Evidenzstärke nicht unbemerkt erhöhen.
de.c.067|Anaphern, Wiederaufnahme und Konnektoren|Zusammenhang zwischen Textteilen|Einen nachvollziehbaren Text aufbauen.|Kohäsion allein garantiert keine logisch stimmige Argumentation.|Wiederholung kann klarer sein als ein mehrdeutiges Pronomen.
de.c.068|Syntax und Wortwahl passend zu Situation und Adressat|soziale und stilistische Einordnung|Formelle und informelle Kommunikation abstimmen.|Nominalstil ist nicht grundsätzlich besser.|Mehrere registergerechte Formen sind zulässig, sofern die Aussage erhalten bleibt.
de.c.069|Wechsel zwischen nominaler und verbaler Darstellung|gleicher Sachverhalt mit unterschiedlicher Perspektive|Informationsdichte und Verständlichkeit steuern.|Umformung kann Agens und Kausalität verschieben.|Eine explizite verbale Form ist gültig, wenn sie die beabsichtigten Rollen bewahrt.
de.c.070|gleichrangige Glieder mit kompatibler Struktur|ausgewogene Verbindung|Aufzählungen und Vergleiche formulieren.|Gleiche Wortlänge ist keine grammatische Parallelität.|Unterschiedliche Formen sind möglich, wenn syntaktische Funktion und Bezug passen.
de.c.071|Moduswahl im konkreten Aussagekontext|feine Abstufung von Realität, Wunsch und Distanz|Eine Haltung präzise ausdrücken.|Konjunktivformen sind nicht beliebig austauschbar.|Alternative Moduswahl kann grammatisch sein und dennoch eine andere Haltung ausdrücken.
de.c.072|markierte Voranstellung, Nachstellung oder Abweichung von neutraler Ordnung|besonderer Fokus oder Gesprächsstruktur|Gezielt hervorheben.|Markierung ohne passenden Kontext kann unnatürlich wirken.|Neutrale Wortstellung erhält oft den Sachverhalt, aber nicht jeden Kontrast.
de.c.073|mehrstufige Einbettung von Nebensätzen und Infinitivgruppen|verschachtelte Beziehungen zwischen Propositionen|Komplexe Zusammenhänge erklären.|Einbettung und Koordination schaffen unterschiedliche Abhängigkeiten.|Aufteilen ist möglich, wenn Bezüge und logische Hierarchie erhalten bleiben.
de.c.074|lizenzierte Auslassung oder Ersatzform|erschließbare Information ohne Wiederholung|Gespräche und Texte knapp halten.|Ein nicht erschließbares Bezugsstück darf nicht stillschweigend fehlen.|Explizite Wiederholung ist zulässig, wenn sie Klarheit schafft.
de.c.075|syntaktische Gestaltung für Hervorhebung und Rhythmus|rhetorische Wirkung|Eine Aussage adressatengerecht aufbauen.|Wirkung ist von grammatischer Richtigkeit und Wahrheit zu trennen.|Mehrere Varianten können dieselbe Absicht angemessen erfüllen.
de.c.076|eindeutige Referenz, Anbindung und Skopus|beabsichtigte Lesart ohne störende Mehrdeutigkeit|Präzise erklären.|Ein formal korrekter Satz kann mehrdeutig bleiben.|Umstellung, Wiederholung oder Aufteilung kann die gleiche Mehrdeutigkeit lösen.
de.c.077|konventionelle Wortverbindungen und Satzmuster|lexikalisch gebundene natürliche Bedeutung|Natürlich formulieren.|Wortwörtliche Übertragung kann die Kollokation verletzen.|Nur belegte sinnkompatible Varianten akzeptieren.
de.c.078|textsortenspezifische syntaktische Muster|Konventionen eines kommunikativen Zwecks|E-Mail, Bericht oder Vortrag gestalten.|Ein Muster aus einem Fachbericht passt nicht automatisch in ein Gespräch.|Andere Strukturen sind zulässig, wenn Zweck, Register und Inhalt passen.
de.c.079|verdichtete Nominal- und Partizipialstrukturen|hohe Informationsdichte|Komplexe Inhalte knapp darstellen.|Verdichtung kann Bezugsfehler verdecken.|Explizite Sätze sind akzeptabel, wenn Kürze nicht selbst das Lernziel ist.
de.c.080|Partikeln, Modus und Satzform im Gespräch|Höflichkeit, Erwartung oder soziale Haltung|Eine Äußerung an die Situation anpassen.|Abschwächung kann mehr als nur die Oberfläche ändern.|Varianten müssen Sprechhandlung und angemessene Stärke berücksichtigen.
de.c.081|Referenzketten und logische Übergänge über längere Beiträge|inhaltlicher Zusammenhang|Ein längeres Argument nachvollziehbar aufbauen.|Ein Konnektor kann eine fehlende Begründung nicht ersetzen.|Mehrere Gliederungen sind zulässig, wenn die Beziehungen explizit bleiben.
de.c.082|Abbruch, Korrektur und Neuansatz im Redefluss|Wiederherstellung einer beabsichtigten Äußerung|Einen Fehler beim Sprechen korrigieren.|Selbstkorrektur ist nicht automatisch ein Zeichen fehlender Kompetenz.|Kurze Reformulierungen sind gültig; ursprüngliche und korrigierte Aufnahme getrennt erhalten.
de.c.083|sprachspezifische Muster trotz ähnlicher Ausgangssprache|Vermeidung unpassender Strukturübertragung|Deutsch eigenständig formulieren.|Ähnliche Wörter garantieren keine gleiche Rektion oder Wortstellung.|Eine andere korrekte deutsche Struktur ist zulässig, wenn sie dieselbe Absicht ausdrückt.
de.c.084|mehrere Konstruktionen in eigener freier Produktion|koordinierter produktiver Sprachgebrauch|Neue Inhalte verständlich kommunizieren.|Abgeschlossene Übungen belegen noch keine automatische Verwendung.|Viele richtige Antworten sind möglich; unabhängige Geschwindigkeit und Genauigkeit getrennt messen.
de.c.085|Imperativformen für du/ihr/Sie|Aufforderung an verschiedene Adressaten|Anweisungen oder Bitten formulieren.|Sie-Imperativ und du-Imperativ unterscheiden sich in Form und Beziehung.|Bitte oder eine Frageform kann höflicher sein, verändert aber die Sprechhandlung.
de.c.086|linke finite und rechte infinite/präfigierte Satzklammer|Zusammenhalt des Verbkomplexes|Einfache Hauptsätze sicher bilden.|Vorfeldposition und linke Satzklammer sind nicht identisch.|Ein einfaches Vollverb kann eine leere rechte Klammer haben.
de.c.087|Zeit- und Datumsangaben mit Zahl-/Ordinalformen|Uhrzeit, Kalenderbezug und Reihenfolge|Termine und Abläufe nennen.|Gesprochene regionale Uhrzeiten können unterschiedliche Konventionen haben.|Formelle Zahlenangaben und regionale Formen nur mit klarem Zielkontext vergleichen.
de.c.088|am/um/im + Zeitausdruck|Tag, Zeitpunkt oder Zeitraum|Termine zeitlich einordnen.|Um acht unterscheidet sich von am Montag und im Mai.|Alternative Zeitangaben müssen denselben Zeitpunkt oder Zeitraum bezeichnen.
de.c.089|Häufigkeitsadverb in geeigneter Satzposition|Wiederholungsfrequenz|Gewohnheiten beschreiben.|Immer und meistens haben unterschiedliche Stärke.|Verschiedene Stellungen sind möglich, sofern Fokus und Verbstellung stimmen.
de.c.090|es gibt + Akkusativergänzung|Existenz oder Verfügbarkeit|Etwas in einer Situation einführen.|Es gibt ist nicht die wörtliche Mehrzahlform there are.|Existieren oder vorhanden sein kann passen, hat aber andere Syntax und Registerwirkung.
de.c.091|man + Verb in der dritten Person Singular|allgemeiner menschlicher Handlungsträger|Verfahren oder allgemeine Erfahrungen beschreiben.|Man ist nicht dasselbe wie eine bestimmte genannte Person.|Passiv ist möglich, wenn dieselbe allgemeine Perspektive passt.
de.c.092|und/aber/denn/oder zwischen gleichrangigen Einheiten|Addition, Gegensatz, Begründung oder Alternative|Einfache Aussagen verbinden.|Koordinatoren lösen nicht dieselbe Verb-Endstellung aus wie Subjunktoren.|Ein anderer Konnektor ist nur bei gleicher Relation und passender Struktur zulässig.
de.c.093|viel/wenig/genug mit passender nominaler oder adverbialer Verwendung|Menge oder ausreichender Grad|Bedarf und Verfügbarkeit beschreiben.|Viel Arbeit unterscheidet sich von viele Aufgaben.|Ausreichend kann genug paraphrasieren, aber Flexion und Verwendung prüfen.
de.c.094|mich/dich/ihn/sie/es/uns/euch/Sie als Akkusativpronomen|wiederaufgenommener Akkusativreferent|Direkte Objekte knapp benennen.|Mich unterscheidet sich von mir.|Ein eindeutiges Nomen kann das Pronomen ersetzen und behält die Kasusfunktion.
de.c.095|Adjektivendung nach bestimmtem/unbestimmtem Artikel|Merkmalskongruenz innerhalb der Nominalgruppe|Personen und Dinge attributiv beschreiben.|Der gute Plan unterscheidet sich von ein guter Plan.|Prädikative Umschreibung kann die Eigenschaft erhalten, prüft aber keine Attributendung.
de.c.096|der/die/das als Relativpronomen + Nebensatz|Bezug auf ein Nomen|Einfache zusätzliche Informationen anfügen.|Relativpronomen sind von Demonstrativartikeln zu unterscheiden.|Kasus folgt der Rolle im Relativsatz; nicht mechanisch dem Hauptsatzkasus.
de.c.097|ob + Verb-Letzt-Satz|offene Entscheidungsfrage|Unsicherheit oder eine indirekte Frage ausdrücken.|Ob unterscheidet sich vom konditionalen wenn.|Eine direkte Ja/Nein-Frage kann denselben Informationsbedarf mit anderer Einbettung ausdrücken.
de.c.098|darum/deshalb/deswegen als Konnektoradverb|begründete Folge|Eine Konsequenz an einen Grund anschließen.|Diese Wörter leiten keinen Verb-Letzt-Satz wie weil ein.|Die drei Formen überschneiden sich; Fokus und Register können sich unterscheiden.
de.c.099|denn zur Begründung; sondern zur korrigierenden Verbindung|Grund oder Ersatz nach Verneinung|Eine Aussage begründen oder korrigieren.|Sondern setzt einen geeigneten negierten Kontrast voraus.|Aber ist nicht in jeder korrigierenden Verbindung gleichwertig.
de.c.100|Verb mit Dativ- und Akkusativergänzung|Empfänger-/Gegenstandsrelation bei geeigneten Verben|Über Geben, Zeigen oder ähnliche Beziehungen sprechen.|Objektreihenfolge ersetzt keine Kasusmarkierung.|Pronomen und Informationsgewicht beeinflussen die Reihenfolge.
de.c.101|häufiges Verb + feste Präposition + Kasus|lexikalische Anschlussstruktur|Alltägliche Verbmuster vollständig verwenden.|Kontaktieren braucht kein mit-Objekt; sprechen kann mit/über nehmen.|Andere Verben brauchen eventuell andere Ergänzungen trotz ähnlicher Bedeutung.
de.c.102|werden finit + Infinitiv|Zukunftsbezug oder Vermutung|Vorhersagen und Absichten formulieren.|Werden als Hilfsverb unterscheidet sich vom Passivhilfsverb.|Präsens mit Zeitangabe kann Zukunft ausdrücken, aber nicht jede Vermutung ersetzen.
de.c.103|da(r)-/wo(r)- + Präposition|pronominaler Bezug auf Sachen oder Sachverhalte|Präpositionalbezüge knapp wiederaufnehmen oder erfragen.|Für Personen braucht man häufig Präposition + Personal-/Fragepronomen.|Darauf und auf das können kontextabhängig überlappen; Personbezug getrennt prüfen.
de.c.104|zu-Infinitiv in häufigen Ergänzungsmustern|beabsichtigte oder bewertete Handlung|Einfache Vorhaben und Bewertungen ausdrücken.|Modalverben haben normalerweise einen Infinitiv ohne zu.|Ein finiter Ergänzungssatz ist nur bei passendem Regens und Subjektbezug möglich.
