# id|form|meaning|use|contrast|valid alternatives and limits
en.c.021|am/is/are going to + infinitive|prior intention or evidence-based prediction|Explain plans or an expected outcome.|Literal movement to a place differs from future going to.|Present progressive can express an arrangement only when the context supports it.
en.c.022|comparative adjective + than|relative degree between referents|Compare products, places or options.|More efficient differs from most efficient.|-er and more depend on the adjective; preserve comparison direction.
en.c.023|superlative adjective within a comparison set|highest or lowest degree in a group|Select an extreme member.|A superlative needs an understood comparison set.|-est and most depend on the adjective; determiners vary with noun-phrase context.
en.c.024|some/any/no + noun phrase|indefinite quantity or absence|Ask about availability and report presence.|Some in an offer differs from neutral any; no differs from not any syntactically.|Not any can paraphrase no if polarity and scope remain equivalent.
en.c.025|much + mass; many + plural count; a lot of + either|large quantity|Describe amounts and numbers.|Much information differs from many items.|Lots of is informal; a lot of works with both noun classes.
en.c.026|frequency adverb in a licensed clause position|how regularly an event occurs|Describe a routine precisely.|Always differs from usually; position with be differs from lexical verbs.|Initial/final positions are possible for some adverbs but can alter emphasis.
en.c.027|me/you/him/her/it/us/them in object position|referent receiving or completing a relation|Refer back without repeating a full noun phrase.|She called him differs from her called he.|A noun phrase may replace the pronoun if reference and grammatical role are preserved.
en.c.028|must + infinitive; have to + infinitive|necessity or obligation|State requirements.|Must not prohibits; do not have to removes necessity.|Need to may express necessity; must and have to differ in tense and pragmatic context.
en.c.029|have/has + past participle|past situation related to the present|Report experience, results or continuing states.|A finished past-time frame normally selects past simple.|Contractions are acceptable; lexical participles remain fixed.
en.c.030|present perfect versus past simple|current relevance versus a past reference frame|Choose the time perspective of a report.|I have lost it and I lost it are not always contextually equivalent.|Regional usage can differ; require the context and target variety before judging.
en.c.031|for + duration; since + starting point|extent of a time interval|Describe how long a situation lasts.|For two years differs from since 2024.|Since-clauses can replace date phrases when the start event is clear.
en.c.032|was/were + -ing|event in progress at a past reference time|Set a narrative background.|An ongoing event differs from a bounded past event.|Contractions affect negatives; viewpoint changes require semantic review.
en.c.033|past progressive plus past simple|background process and foreground event|Explain an interruption or simultaneous activity.|When and while do not mechanically determine the tense.|Alternative clause order is acceptable if timing and focus are preserved.
en.c.034|if + present clause, will/modal + infinitive|open future condition|Explain a possible consequence.|An open condition differs from a remote hypothetical.|Other modals or imperatives are possible when the consequent meaning is licensed.
en.c.035|if + remote past, would/modal + infinitive|hypothetical present or future condition|Imagine an unlikely or counterfactual situation.|Past form can express remoteness rather than past time.|Were is available for irrealis; was varies by style and subject.
en.c.036|relative word + clause modifying a noun|identify or describe a referent|Combine a noun and relevant information.|Defining and supplementary relatives differ in punctuation and reference.|Object relatives may omit the pronoun in defining clauses; subject relatives may not.
en.c.037|verb/complement + -ing or to-infinitive|activity or prospective action selected by a governor|Choose a complement licensed by the preceding word.|Enjoy doing differs from want to do.|Some governors allow both forms, sometimes with changed meaning; record lexical constraints.
en.c.038|should/ought to + infinitive|advice or expected conduct|Make a recommendation.|Advice differs from a compulsory requirement.|Ought to and should often overlap; had better adds a consequence or warning.
en.c.039|am/is/are/was/were + past participle|event described with its affected participant as subject|Describe processes and past actions.|Passive be differs from progressive be + -ing.|An optional by-phrase retains an agent when needed for meaning.
en.c.040|reporting verb + reported clause|another person's statement|Report information without quoting directly.|Backshift is not obligatory when the original proposition remains current.|That can often be omitted; time/person changes must follow the reporting context.
en.c.041|statement + auxiliary/pronoun tag|confirmation request or stance towards a proposition|Check shared understanding.|Tag polarity and intonation affect meaning.|Invariant conversational tags need a separate register policy.
en.c.042|too + adjective; adjective + enough|excess or sufficient degree|Explain feasibility or suitability.|Too expensive differs from very expensive.|Enough + noun has a different order from adjective + enough.
en.c.043|have/has been + -ing|activity extending towards now or leaving present evidence|Explain duration or a recent ongoing activity.|A completed count/result often prefers perfect simple.|Both perfect forms may fit with different emphasis; preserve the prompt's intended viewpoint.
en.c.044|had + past participle|event before another past reference point|Clarify narrative sequence.|Past perfect is not required for every earlier event when order is already clear.|Past simple can be acceptable where context explicitly fixes the chronology.
en.c.045|had been + -ing|ongoing activity before a past reference point|Explain a past duration or cause.|A finished result differs from a preceding process.|Perfect simple may change focus from activity to result.
en.c.046|will be + -ing|activity in progress at a future time|Describe an expected future situation.|Future progressive differs from an immediate decision.|Other future forms need contextual review because arrangement and willingness may differ.
en.c.047|will have + past participle|completion before a future reference point|Set a projected deadline.|Completion by a time differs from activity at a time.|By-phrases or before-clauses can express the same deadline relation.
en.c.048|if + past perfect, would have + participle|unreal past condition and consequence|Discuss an outcome that did not happen.|Past counterfactual differs from open future possibility.|Could/might have change ability or possibility and are not always equivalent to would have.
en.c.049|condition and consequence with different time frames|cross-time hypothetical relation|Link a past cause to a present result or the reverse.|Time frames must be derived from meaning, not a memorised mixed template.|Several tense combinations work only with an explicitly coherent time relation.
en.c.050|must/may/might/could/cannot + infinitive|inference about a present situation|Express certainty or possibility based on evidence.|Deductive must differs from obligation.|May/might/could often overlap; cannot expresses impossibility rather than prohibition here.
en.c.051|modal + have + past participle|inference about a past event|Explain what probably or possibly happened.|Must have left differs from had to leave.|Might/may/could have can overlap in epistemic use; other readings need context.
en.c.052|have/get + object + past participle|arranged service or affected experience|Describe work done for someone.|I cut my hair differs from I had my hair cut.|Get is often less formal; unpleasant experiences can use the same form without intentional causation.
en.c.053|passive with perfect/progressive/modal auxiliaries|voice choice within a tense or modal frame|Describe complex processes while preserving timing.|Has been repaired differs from is being repaired.|Active paraphrases require the same participants, timing, polarity and modality.
en.c.054|-ing/-ed participial clause attached to a main clause|compressed circumstance or description|Connect related events concisely.|A dangling participle can attach to the wrong participant.|A finite subordinate clause is often clearer; keep the intended controller and temporal relation.
en.c.055|wish/if only + remote or past-perfect clause|regret or unreal desire|Express dissatisfaction with present or past reality.|Wish for a different present differs from regret about the past.|If only is often more emphatic; wish + would has additional willingness/annoyance constraints.
en.c.056|negative/restrictive fronted phrase + auxiliary inversion|emphatic restriction or negative scope|Emphasise an exceptional event.|Ordinary adverb fronting does not always trigger inversion.|Canonical order can express the same proposition with less marked emphasis.
en.c.057|it-cleft or wh-cleft|focus on a selected constituent|Correct or contrast one part of a message.|Cleft focus changes discourse packaging and presupposition.|An ordinary clause may preserve the event while losing the cleft's contrastive effect.
en.c.058|had/were/should + subject in a conditional clause|conditional relation without if|Use a formal hypothetical construction.|Inversion is limited to licensed auxiliaries and forms.|An if-clause can paraphrase the condition with matching tense and modality.
en.c.059|derived noun + complements/modifiers|event or property represented as an entity|Summarise an action as a topic.|Nominalisation may conceal an agent.|A finite clause is acceptable when it preserves participants and makes the relationship clearer.
en.c.060|hedges, stance adverbs and reporting frames|degree of commitment to a claim|Present evidence proportionately.|May suggest differs from proves.|Different hedges carry different strength; accept only variants with suitable commitment.
en.c.061|discourse marker linking clauses or stretches of text|addition, contrast, inference or sequencing|Make argument relations explicit.|However is not a coordinating conjunction like but.|Equivalent connectors require compatible syntax, punctuation and logical relation.
en.c.062|substitute forms or licensed omission|recoverable reference without repetition|Keep connected text concise.|Omission without a recoverable antecedent is ambiguous.|Repeat the full constituent when needed; do so/one/so each have their own distribution.
en.c.063|preposition/quantifier/relative clause combinations|precise relations to an antecedent|Add detailed reference information.|Whose, of which and sentential which have different roles.|Preposition stranding or fronting varies with clause type and register.
en.c.064|reporting verb + licensed complement frame|report an assertion, request, promise or attitude|Represent the original speech act accurately.|Deny doing differs from promise to do.|A report with say may preserve content but lose the original speech-act meaning.
en.c.065|stressed do/does/did or another auxiliary|contrastive affirmation|Correct a denial or emphasise truth.|Emphatic do does not combine with an already finite lexical past form.|Stress on an existing auxiliary is available when do-support is not licensed.
en.c.066|fronted object, complement or adjunct|topic or contrast prominence|Connect a sentence to prior discourse.|Fronting need not reverse subject and verb.|Canonical order may preserve the proposition but alter the information structure.
en.c.067|head noun with pre/postmodification and complements|densely specified reference|Describe a precise entity or concept.|A modifier differs from a selected complement.|Split a dense phrase into clauses when reference and attachment remain clear.
en.c.068|grammar choices matched to audience and setting|social relationship and formality|Write or speak appropriately for a recipient.|Formal language is not inherently more correct than informal language.|Contractions, passives and noun-heavy phrasing depend on genre and purpose.
en.c.069|tense/aspect choice across connected clauses|viewpoint, temporal ordering and relevance|Maintain a coherent account.|A tense change can shift the reference time.|Several choices can be grammatical; require a coherent timeline rather than one universal answer.
en.c.070|coordinated constituents with compatible structures|balanced relations among ideas|Present lists and comparisons clearly.|Surface repetition alone does not guarantee semantic parallelism.|Mixed forms can be grammatical when functions align; judge the actual coordination.
en.c.071|marked ordering, inversion or displacement|special focus, topic or style|Adapt information order to a discourse need.|Marked order can be inappropriate without supporting context.|Canonical word order is a valid neutral version but may not meet a focus-specific task.
en.c.072|embedded finite/nonfinite clauses|nested propositions and dependencies|Explain a multi-part relationship.|Embedding differs from merely joining independent clauses.|Split clauses while retaining logical relations and reference when compression is not required.
en.c.073|modal expression in an evidence and discourse context|graded certainty, obligation or willingness|Express a precise stance.|A weaker modal can change the claim.|Accept alternatives only when force, source of evidence and register fit.
en.c.074|remote tense/modality in hypothetical discourse|distance from asserted reality|Distinguish imagined and asserted situations.|Past morphology can signal remoteness without past time.|Conditional and wish constructions may express related ideas without being interchangeable.
en.c.075|reference chains, ellipsis and connectors across paragraphs|continuity and logical relationships|Sustain a long explanation.|Repeated nouns can clarify reference where pronouns would be unclear.|Several cohesive devices are valid if antecedents and argument relations remain identifiable.
en.c.076|syntactic choice for emphasis, rhythm or persuasion|rhetorical effect beyond the core proposition|Shape an argument for an audience.|Persuasive force does not establish factual truth.|Evaluate appropriate effect and grammar separately; there is no single ideal sentence.
en.c.077|nominal, participial and nonfinite compression|dense representation of related propositions|Write concise academic descriptions.|Compression can obscure agents or causal relations.|Expanded clauses remain valid and can improve clarity.
en.c.078|lexically conventional clause frames|conventional meaning tied to a pattern|Use natural recurring expressions.|A word-for-word substitution may break the idiom.|Accept attested variants with the same sense; lexical lookup is required.
en.c.079|explicit reference and controlled attachment/scope|one intended reading|Avoid ambiguity in explanations.|A grammatical sentence can still permit competing interpretations.|Reordering, repeating a noun or splitting clauses can resolve the same ambiguity.
en.c.080|reformulation for a changed audience or register|same core message with different social framing|Move between conversation and formal writing.|Changing certainty or politeness is not purely stylistic.|Several rewrites are valid if requested stance and core facts are retained.
en.c.081|punctuation marking clause and phrase relations|boundaries, attachment and emphasis|Make written structure unambiguous.|A comma splice differs from coordination with an appropriate connector.|Semicolon, full stop or conjunction can fit different relationships; punctuation is writing-specific.
en.c.082|revision of grammatical and idiomatic phrasing|clear natural expression of an intended message|Edit a draft while preserving meaning.|A smoother rewrite can accidentally strengthen a claim.|Accept multiple natural revisions; track changed meaning separately from fluency.
en.c.083|genre-sensitive clause and phrase patterns|communicative conventions of a text type|Write an email, report or explanation for its purpose.|A style appropriate for a report may sound excessive in a chat.|Equivalent messages may use different structures when the genre permits.
en.c.084|coordinated selection of grammar during original output|accurate production across constructions|Communicate a new message with minimal prompting.|Finishing a task does not demonstrate automaticity.|Multiple correct outputs are expected; speed and accuracy require separate evidence.
en.c.085|possessor + 's; whose + noun/question|ownership or association|Identify the owner or associated person.|Who's is who is/has and differs from whose.|An of-phrase can sometimes express the relation; lexical and discourse constraints apply.
en.c.086|at/in/on + time expression|point, period or calendar placement|Arrange or describe times.|At noon, on Monday and in June have different complements.|Zero preposition with this/next/last expressions requires a separate context rule.
en.c.087|adjective + selected preposition + complement|lexically selected relationship|Describe attitudes and states accurately.|Interested in differs from interested on.|Some adjectives take different prepositions with different senses; do not generalise one pattern.
en.c.088|-ed versus -ing adjective|experienced state versus cause of a response|Describe feelings and their causes.|Bored differs from boring.|A relative clause can explain either meaning; keep experiencer and stimulus distinct.
en.c.089|to/in order to/so as to + infinitive|intended purpose|Explain why an action is performed.|Purpose differs from an actual result.|So that + finite clause is possible when subject, modality and intention are preserved.
en.c.090|few/a few + count plural; little/a little + mass|small quantity with negative or positive framing|Describe sufficiency or scarcity.|Few differs from a few in the speaker's implication.|Not many/not much often align with negative framing but are not universal replacements.
en.c.091|capital letters and possessive/contraction apostrophes|written distinction of names, sentence starts and omitted material|Make written reference and forms clear.|Its differs from it's; plurals do not generally take apostrophes.|Accept standard regional conventions where applicable; spoken grammar cannot test graphic placement.
en.c.092|although + clause; despite + nominal; however as connector|concession or contrast|Connect an expectation with an opposing fact.|Despite does not normally introduce a bare finite clause.|Despite the fact that + clause is possible; retain the intended contrast and punctuation.
en.c.093|used to + base; be/get used to + noun or -ing|past habit versus familiarity or adaptation|Describe former routines and adjustment.|The two to forms have different grammatical functions.|Was accustomed to can paraphrase familiarity in an appropriate register.
en.c.094|so + adjective/adverb; such + noun phrase|high degree or emphatic characterisation|Explain a strong response or consequence.|So a good idea differs from such a good idea.|Really/very can fit some contexts but may weaken an exclamative or result relation.
en.c.095|could versus was/were able to or managed to|general past ability versus successful specific achievement|Report capability or a completed success.|Could does not always assert achievement on one occasion.|Managed to adds difficulty; negative could not often describes a specific failure.
en.c.096|used to/would/past simple for repetition|past routine or former state|Describe past habits.|Habitual would normally needs an established past context and is restricted with states.|Past simple plus a frequency phrase may express repetition without implying it has ceased.
en.c.097|verb + particle, with placement constraints|lexical meaning of a multiword verb|Describe common actions naturally.|Particle verbs differ from prepositional verbs.|For separable verbs, short noun objects may occur in either position; pronouns have tighter placement.
en.c.098|perfect clause with just/yet/still/already|recency, expectation or completion relative to now|Report progress.|Still not differs from not yet in emphasis.|Adverb positions vary; regional past-simple usage requires a target-variety policy.
en.c.099|myself/yourself/etc. linked to a local referent|reflexive participant relation or emphasis|Describe actions affecting the same person.|I washed myself differs from I myself washed it.|Emphatic reflexives may be omitted without changing participants, but reflexive objects may not.
en.c.100|lexical predicate interpreted as state or activity|stable relation versus unfolding event|Choose aspect appropriate to a verb's sense.|Think meaning believe differs from think meaning consider actively.|Progressive statives can be acceptable with a temporary or reinterpreted sense.
en.c.101|as + role/clause; like + comparison phrase|role, manner or resemblance|Explain function or similarity.|Working as a teacher differs from working like a teacher.|As if/as though introduce a comparison clause; informal like-clauses need register review.
en.c.102|verb + selected preposition + complement|lexically governed participant relation|Choose a complete verb pattern.|Depend on differs from depend of.|An alternative verb may require a different preposition and must preserve the intended relation.
en.c.103|degree modifier compatible with adjective meaning|degree on a scale or absolute/extreme property|Describe intensity naturally.|Very cold differs from absolutely freezing.|Context can create scales for otherwise absolute adjectives; avoid rigid universal bans.
en.c.104|regional patterns in tense, agreement and prepositions|grammatical variation across English varieties|Choose a consistent target variety.|A regional alternative is not automatically an error.|Record BrE/AmE variants without treating every regional form as interchangeable in all contexts.
en.c.105|degree phrase + comparative|size of a difference|Make comparisons precise.|Much better differs from very better.|Far/a lot/slightly/a little can modify comparatives with different strengths.
en.c.106|ask/wonder + wh-clause or if/whether-clause|reported question|Report an information request.|Indirect questions use statement order rather than direct-question inversion.|If and whether overlap in some environments; prepositions and infinitives restrict the choice.
en.c.107|future expression plus modal/adverbial qualification|degree of confidence in a future event|Make proportionate forecasts.|Definitely will differs from may.|Bound to/likely to/unlikely to need their own syntax and preserve different confidence levels.
en.c.108|governing verb + -ing versus to-infinitive|contrasting complement meanings|Explain remembered, stopped or attempted actions.|Stop doing differs from stop to do.|Only sense-compatible variants qualify; grammaticality alone does not prove equivalent meaning.
en.c.109|passive patterns across reporting and complex auxiliaries|affected-topic perspective in several clause types|Review voice choices in a connected explanation.|It is said that and a raised passive require compatible predicates and timing.|Active reports are acceptable when source attribution, participants and temporal relations survive.
en.c.110|modal and periphrastic probability expressions|graded epistemic commitment|State what evidence supports.|Possible differs from probable and certain.|Likely to, may and probably have overlapping but nonidentical force.
en.c.111|remote past/past perfect after wish, if, would rather or it's time|nonactual situation related to now or earlier time|Express preferences, regret and overdue action.|The past form does not always locate an event in the past.|Each frame licenses its own complement pattern; one remote form cannot replace every other.
en.c.112|verb + particle with object-position constraints|same phrasal-verb event with licensed ordering|Place short nouns, pronouns and long objects naturally.|Turn it off differs from turn off it.|Turn off the light and turn the light off overlap; inseparable verbs do not permit this alternation.
